Internet Service,Internet Service_Telco_customer_churn_services,Online Security,Online Security_Telco_customer_churn_services,Online Backup,Online Backup_Telco_customer_churn_services,Streaming TV,Streaming TV_Telco_customer_churn_services,Streaming Movies,Streaming Movies_Telco_customer_churn_services,Contract,Contract_Telco_customer_churn_services,Payment Method,Payment Method_Telco_customer_churn_services,Total Charges,Total Charges_Telco_customer_churn_services,Churn Reason,Churn Reason_Telco_customer_churn_status
DSL,Yes,Yes,Yes,No,No,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,447.75,447.75,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,4209.95,4209.95,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,One year,One Year,Credit card (automatic),Credit Card,3877.65,3877.65,,
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,152.3,152.3,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Credit Card,572.2,572.2,,
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,552.7,552.7,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Mailed check,Credit Card,3208.65,3208.65,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Credit Card,620.75,620.75,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,505.9,505.9,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,8046.85,8046.85,,
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1815.3,1815.3,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,612.95,612.95,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,One year,One Year,Mailed check,Credit Card,795.15,795.15,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,973.1,973.1,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2210.2,2210.2,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,One year,One Year,Mailed check,Credit Card,1055.9,1055.9,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1304.85,1304.85,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,21.1,21.1,,
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,5580.8,5580.8,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Credit card (automatic),Credit Card,1497.9,1497.9,,
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Two year,Two Year,Credit card (automatic),Credit Card,4590.35,4590.35,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,200.2,200.2,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,614.45,614.45,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,One Year,Electronic check,Bank Withdrawal,4564.9,4564.9,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card, ,257.5,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Credit card (automatic),Credit Card,1012.4,1012.4,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2766.4,2766.4,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1129.35,1129.35,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,5680.9,5680.9,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,2243.9,2243.9,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Two year,Two Year,Credit card (automatic),Credit Card,4523.25,4523.25,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,7159.7,7159.7,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,2839.95,2839.95,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,80.55,80.55,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,580.1,580.1,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Electronic check,Bank Withdrawal,6038.55,6038.55,,
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,259.4,259.4,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,324.15,324.15,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,417.65,417.65,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,5637.85,5637.85,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Credit Card,839.4,839.4,,
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,769.1,769.1,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,6253,6253.0,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1641.8,1641.8,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1678.05,1678.05,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,2058.5,2058.5,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,2424.5,2424.5,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Mailed check,Credit Card,6293.45,6293.45,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,3145.9,3145.9,,
DSL,Yes,No,No,No,No,No,No,No,No,Two year,Two Year,Credit card (automatic),Credit Card,2200.7,2200.7,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Electronic check,Bank Withdrawal,914.4,914.4,,
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,4577.75,4577.75,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,4997.5,4997.5,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,4144.8,4144.8,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1493.55,1493.55,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,4179.1,4179.1,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,1611,1611.0,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,593.05,593.05,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Mailed check,Credit Card,1533.8,1533.8,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,529.8,529.8,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,One Year,Credit card (automatic),Credit Card,3865.6,3865.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,515.75,515.75,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,48.35,48.35,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2070.05,2070.05,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,8333.95,8333.95,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1209.25,1209.25,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,1396.25,1396.25,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,723.35,723.35,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Credit Card,228.65,228.65,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,1161.75,1161.75,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,98.35,98.35,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,One Year,Credit card (automatic),Credit Card,775.3,775.3,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1074.65,1074.65,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2324.7,2324.7,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,One year,One Year,Mailed check,Mailed Check,1072.6,1072.6,,
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,170.5,170.5,,
DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1677.85,1677.85,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,18.85,18.85,,
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,370.4,370.4,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,One year,One Year,Mailed check,Mailed Check,3410.6,3410.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1138.8,1138.8,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Two year,Two Year,Credit card (automatic),Credit Card,5264.25,5264.25,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Mailed Check,1005.7,1005.7,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,One year,One Year,Credit card (automatic),Credit Card,5936.55,5936.55,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,5475.9,5475.9,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,One Year,Electronic check,Bank Withdrawal,2326.05,2326.05,,
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,4991.5,4991.5,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,5831.2,5831.2,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Credit card (automatic),Credit Card,510.8,510.8,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,283.95,283.95,,
DSL,Yes,No,No,No,No,No,No,No,No,One year,One Year,Credit card (automatic),Credit Card,1295.4,1295.4,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Mailed Check,19.65,19.65,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,One year,One Year,Credit card (automatic),Credit Card,3011.65,3011.65,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,8093.15,8093.15,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,One Year,Electronic check,Bank Withdrawal,3217.65,3217.65,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,One year,One Year,Mailed check,Mailed Check,773.2,773.2,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1029.35,1029.35,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Mailed check,Mailed Check,3593.8,3593.8,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,One Year,Electronic check,Bank Withdrawal,3953.15,3953.15,,
DSL,Yes,No,No,No,No,No,No,No,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1971.15,1971.15,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3196,3196.0,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,4872.2,4872.2,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,1500.5,1500.5,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,3478.75,3478.75,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,7413.55,7413.55,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,3532,3532.0,,
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,256.75,256.75,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,3887.25,3887.25,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Two year,Two Year,Credit card (automatic),Credit Card,2490.15,2490.15,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Mailed check,Credit Card,3510.3,3510.3,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,765.45,765.45,,
DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,One Year,Electronic check,Bank Withdrawal,1259.35,1259.35,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,5538.35,5538.35,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,340.85,340.85,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,844.45,844.45,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1348.95,1348.95,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,3778,3778.0,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,611.65,611.65,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Mailed Check,1505.05,1505.05,,
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,467.85,467.85,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,194.2,194.2,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,571.45,571.45,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Electronic check,Bank Withdrawal,5253.95,5253.95,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,521.35,521.35,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1412.65,1412.65,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1090.6,1090.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Credit card (automatic),Credit Card,1446.8,1446.8,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,4300.45,4300.45,,
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1111.2,1111.2,,
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,190.1,190.1,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Two year,Two Year,Mailed check,Mailed Check,4447.75,4447.75,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1830.05,1830.05,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,2820.65,2820.65,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Mailed Check,4847.35,4847.35,,
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,4729.3,4729.3,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4017.45,4017.45,,
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1398.6,1398.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1685.9,1685.9,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,5826.65,5826.65,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,One year,One Year,Mailed check,Credit Card,6066.55,6066.55,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Mailed check,Mailed Check,270.2,270.2,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,168.6,168.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,536.35,536.35,,
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Mailed Check,1888.45,1888.45,,
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,629.35,629.35,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,One Year,Electronic check,Bank Withdrawal,2117.25,2117.25,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4730.9,4730.9,,
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,2033.05,2033.05,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,5744.35,5744.35,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,19.45,19.45,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Two year,Two Year,Credit card (automatic),Credit Card,4805.3,4805.3,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,6110.75,6110.75,,
DSL,Yes,No,No,No,No,No,No,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,1596.6,1596.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,1046.2,1046.2,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,92.75,92.75,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,194.55,194.55,,
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,612.1,612.1,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,6671.7,6671.7,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,5264.3,5264.3,,
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,One Year,Electronic check,Bank Withdrawal,303.7,303.7,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,4818.8,4818.8,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,7159.05,7159.05,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1574.5,1574.5,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,One year,One Year,Electronic check,Bank Withdrawal,2879.2,2879.2,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,86.05,86.05,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,One Year,Electronic check,Bank Withdrawal,4159.45,4159.45,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,6638.35,6638.35,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Two year,Two Year,Mailed check,Credit Card,3112.05,3112.05,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two year,Two Year,Electronic check,Bank Withdrawal,7168.25,7168.25,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Credit card (automatic),Credit Card,1326.25,1326.25,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,2234.55,2234.55,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,495.15,495.15,,
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,8317.95,8317.95,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,679.8,679.8,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,62.8,62.8,,
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,7544,7544.0,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,1188.25,1188.25,,
DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,74.1,74.1,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3242.5,3242.5,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,1240.15,1240.15,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,One year,One Year,Bank transfer (automatic),Bank Withdrawal,4111.35,4111.35,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,5899.85,5899.85,,
DSL,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,5193.2,5193.2,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,7530.8,7530.8,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,5460.2,5460.2,,
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,One Year,Bank transfer (automatic),Bank Withdrawal,1614.2,1614.2,,
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,402.5,402.5,,
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Electronic check,Bank Withdrawal,1367.75,1367.75,,
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Credit card (automatic),Credit Card,7962.2,7962.2,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Two year,Two Year,Credit card (automatic),Credit Card,3810.8,3810.8,,
DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Two year,Two Year,Mailed check,Credit Card,3533.6,3533.6,,
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,1396.9,1396.9,,
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1646.45,1646.45,,
DSL,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,One Year,Mailed check,Credit Card,2680.15,2680.15,,
